省份,城市,更新日期,现有确诊,累计确诊,累计治愈,累计死亡,今日新增确诊,今日新增治愈
湖北,武汉,2020-03-31 08:28:02,1726,50006,45733,2547,0,0
湖北,鄂州,2020-03-31 08:28:02,2,1394,1333,59,0,0
湖北,宜昌,2020-03-31 08:28:02,1,931,894,36,0,0
湖北,孝感,2020-03-31 08:28:02,1,3518,3389,128,0,0
湖北,荆门,2020-03-31 08:28:02,1,928,887,40,0,0
湖北,襄阳,2020-03-31 08:28:02,1,1175,1135,39,0,0
湖北,仙桃,2020-03-31 08:28:02,1,575,552,22,0,0
湖北,潜江,2020-03-31 08:28:02,0,198,189,9,0,0
湖北,恩施州,2020-03-31 08:28:02,0,252,245,7,0,0
湖北,黄石,2020-03-31 08:28:02,0,1015,976,39,0,0
湖北,荆州,2020-03-31 08:28:02,0,1580,1528,52,0,0
湖北,随州,2020-03-31 08:28:02,0,1307,1262,45,0,0
湖北,天门,2020-03-31 08:28:02,0,496,481,15,0,0
湖北,咸宁,2020-03-31 08:28:02,0,836,821,15,0,0
湖北,神农架,2020-03-31 08:28:02,0,11,11,0,0,0
湖北,黄冈,2020-03-31 08:28:02,0,2907,2782,125,0,0
湖北,十堰,2020-03-31 08:28:02,0,672,664,8,0,0
